species,pathway_id,pathway_name,gene_names,ncbi_id,uniprot_id,ko_number,ec_number
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PFK3|phosphofructokinase 3,AT4G26270,,KO:K00850,EC:2.7.1.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PFK2|phosphofructokinase 2,AT5G47810,,KO:K00850,EC:2.7.1.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Phosphofructokinase family protein,AT1G76550,,KO:K00895,EC:2.7.1.90
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",MEE51|Phosphofructokinase family protein,AT4G04040,,KO:K00895,EC:2.7.1.90
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Phosphofructokinase family protein,AT1G12000,,KO:K00895,EC:2.7.1.90
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Phosphofructokinase family protein,AT1G20950,,KO:K00895,EC:2.7.1.90
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",FBP|Inositol monophosphatase family protein,AT1G43670,,KO:K03841,EC:3.1.3.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",HCEF1|high cyclic electron flow 1,AT3G54050,,KO:K03841,EC:3.1.3.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Inositol monophosphatase family protein,AT5G64380,,KO:K03841,EC:3.1.3.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",FBA7|Aldolase superfamily protein,AT4G26520,,KO:K01623,EC:4.1.2.13
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",FBA6|Aldolase superfamily protein,AT2G36460,,KO:K01623,EC:4.1.2.13
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",FBA8|Aldolase superfamily protein,AT3G52930,,KO:K01623,EC:4.1.2.13
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PDE345|Aldolase superfamily protein,AT2G01140,,KO:K01623,EC:4.1.2.13
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",FBA2|fructose-bisphosphate aldolase 2,AT4G38970,,KO:K01623,EC:4.1.2.13
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",FBA5|Aldolase superfamily protein,AT4G26530,,KO:K01623,EC:4.1.2.13
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",FBA4|Aldolase superfamily protein,AT5G03690,,KO:K01623,EC:4.1.2.13
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",FBA1|fructose-bisphosphate aldolase 1,AT2G21330,,KO:K01623,EC:4.1.2.13
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",TPI|triosephosphate isomerase,AT3G55440,,KO:K01803,EC:5.3.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",TIM|triosephosphate isomerase,AT2G21170,,KO:K01803,EC:5.3.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",GAPC2|glyceraldehyde-3-phosphate dehydrogenase C2,AT1G13440,,KO:K00134,EC:1.2.1.12
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",GAPCP-2|glyceraldehyde-3-phosphate dehydrogenase of plastid 2,AT1G16300,,KO:K00134,EC:1.2.1.12
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",GAPCP-1|glyceraldehyde-3-phosphate dehydrogenase of plastid 1,AT1G79530,,KO:K00134,EC:1.2.1.12
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",GAPC1|glyceraldehyde-3-phosphate dehydrogenase C subunit 1,AT3G04120,,KO:K00134,EC:1.2.1.12
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PGK1|phosphoglycerate kinase 1,AT3G12780,,KO:K00927,EC:2.7.2.3
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Phosphoglycerate kinase family protein,AT1G56190,,KO:K00927,EC:2.7.2.3
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PGK|phosphoglycerate kinase,AT1G79550,,KO:K00927,EC:2.7.2.3
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Phosphoglycerate mutase family protein,AT1G22170,,KO:K01834,EC:5.4.2.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PGM|phosphoglycerate/bisphosphoglycerate mutase,AT1G78050,,KO:K01834,EC:5.4.2.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
","iPGAM1|Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent",AT1G09780,,KO:K15633,EC:5.4.2.12
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
","iPGAM2|Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent",AT3G08590,,KO:K15633,EC:5.4.2.12
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Phosphoglycerate mutase family protein,AT3G50520,,KO:K15634,EC:5.4.2.12
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",ENO1|enolase 1,AT1G74030,,KO:K01689,EC:4.2.1.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",LOS2|Enolase,AT2G36530,,KO:K01689,EC:4.2.1.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",ENOC|cytosolic enolase,AT2G29560,,KO:K01689,EC:4.2.1.11
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Pyruvate kinase family protein,AT3G04050,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PKP-BETA1|plastidic pyruvate kinase beta subunit 1,AT5G52920,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Pyruvate kinase family protein,AT5G56350,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Pyruvate kinase family protein,AT3G25960,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Pyruvate kinase family protein,AT3G52990,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Pyruvate kinase family protein,AT3G55650,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Pyruvate kinase family protein,AT3G55810,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Pyruvate kinase family protein,AT5G08570,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Pyruvate kinase family protein,AT5G63680,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Pyruvate kinase family protein,AT4G26390,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PKp3|plastidial pyruvate kinase 3,AT1G32440,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",pyruvate kinase family protein,AT3G49160,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PKP-ALPHA|Pyruvate kinase family protein,AT3G22960,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Pyruvate kinase family protein,AT2G36580,,KO:K00873,EC:2.7.1.40
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",E1_ALPHA|pyruvate dehydrogenase complex E1 alpha subunit,AT1G59900,,KO:K00161,EC:1.2.4.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PDH-E1_ALPHA|pyruvate dehydrogenase E1 alpha,AT1G01090,,KO:K00161,EC:1.2.4.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",IAR4|Thiamin diphosphate-binding fold (THDP-binding) superfamily protein,AT1G24180,,KO:K00161,EC:1.2.4.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",MAB1|Transketolase family protein,AT5G50850,,KO:K00162,EC:1.2.4.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Transketolase family protein,AT2G34590,,KO:K00162,EC:1.2.4.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PDH-E1_BETA|pyruvate dehydrogenase E1 beta,AT1G30120,,KO:K00162,EC:1.2.4.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",EMB3003|2-oxoacid dehydrogenases acyltransferase family protein,AT1G34430,,KO:K00627,EC:2.3.1.12
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
","LTA3|Dihydrolipoamide acetyltransferase, long form protein",AT3G52200,,KO:K00627,EC:2.3.1.12
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
","Dihydrolipoamide acetyltransferase, long form protein",AT1G54220,,KO:K00627,EC:2.3.1.12
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
","Dihydrolipoamide acetyltransferase, long form protein",AT3G13930,,KO:K00627,EC:2.3.1.12
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",LTA2|2-oxoacid dehydrogenases acyltransferase family protein,AT3G25860,,KO:K00627,EC:2.3.1.12
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",mtLPD2|lipoamide dehydrogenase 2,AT3G17240,,KO:K00382,EC:1.8.1.4
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",LPD1|lipoamide dehydrogenase 1,AT3G16950,,KO:K00382,EC:1.8.1.4
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",mtLPD1|mitochondrial lipoamide dehydrogenase 1,AT1G48030,,KO:K00382,EC:1.8.1.4
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",dihydrolipoamide dehydrogenase,AT4G16155,,KO:K00382,EC:1.8.1.4
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Lactate/malate dehydrogenase family protein,AT4G17260,,KO:K00016,EC:1.1.1.27
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Thiamine pyrophosphate dependent pyruvate decarboxylase family protein,AT4G33070,,KO:K01568,EC:4.1.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Thiamine pyrophosphate dependent pyruvate decarboxylase family protein,AT5G01320,,KO:K01568,EC:4.1.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PDC3|pyruvate decarboxylase-3,AT5G01330,,KO:K01568,EC:4.1.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PDC2|pyruvate decarboxylase-2,AT5G54960,,KO:K01568,EC:4.1.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Zinc-binding alcohol dehydrogenase family protein  [EC:1.1.1.1 1.1.1.284],AT1G22440,,KO:K00121,
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Zinc-binding alcohol dehydrogenase family protein  [EC:1.1.1.1 1.1.1.284],AT5G42250,,KO:K00121,
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",HOT5|GroES-like zinc-binding dehydrogenase family protein  [EC:1.1.1.1 1.1.1.284],AT5G43940,,KO:K00121,
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",GroES-like zinc-binding dehydrogenase family protein  [EC:1.1.1.1 1.1.1.284],AT4G22110,,KO:K00121,
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",GroES-like zinc-binding dehydrogenase family protein  [EC:1.1.1.1 1.1.1.284],AT1G22430,,KO:K00121,
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",ADH1|alcohol dehydrogenase 1,AT1G77120,,KO:K18857,EC:1.1.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",GroES-like zinc-binding dehydrogenase family protein,AT1G32780,,KO:K00001,EC:1.1.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",GroES-like zinc-binding dehydrogenase family protein,AT5G24760,,KO:K00001,EC:1.1.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",GroES-like zinc-binding alcohol dehydrogenase family protein,AT1G64710,,KO:K00001,EC:1.1.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",ALDH2B7|aldehyde dehydrogenase 2B7,AT1G23800,,KO:K00128,EC:1.2.1.3
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",ALDH2B4|aldehyde dehydrogenase 2B4,AT3G48000,,KO:K00128,EC:1.2.1.3
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",ALDH3I1|aldehyde dehydrogenase 3I1,AT4G34240,,KO:K00128,EC:1.2.1.3
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",ALDH3H1|aldehyde dehydrogenase 3H1,AT1G44170,,KO:K00128,EC:1.2.1.3
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",ALDH3F1|aldehyde dehydrogenase 3F1,AT4G36250,,KO:K00128,EC:1.2.1.3
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",ALDH7B4|aldehyde dehydrogenase 7B4  [EC:1.2.1.3 1.2.1.8 1.2.1.31],AT1G54100,,KO:K14085,
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",ACS|acetyl-CoA synthetase,AT5G36880,,KO:K01895,EC:6.2.1.1
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",AAE7|acyl-activating enzyme 7  [EC:6.2.1.2 6.2.1.1],AT3G16910,,KO:K01913,
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Galactose mutarotase-like superfamily protein,AT3G17940,,KO:K01785,EC:5.1.3.3
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Galactose mutarotase-like superfamily protein,AT3G47800,,KO:K01785,EC:5.1.3.3
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Galactose mutarotase-like superfamily protein,AT5G15140,,KO:K01785,EC:5.1.3.3
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Galactose mutarotase-like superfamily protein,AT3G01260,,KO:K01785,EC:5.1.3.3
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PGM|phosphoglucomutase,AT5G51820,,KO:K01835,EC:5.4.2.2
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PGM3|Phosphoglucomutase/phosphomannomutase family protein,AT1G23190,,KO:K01835,EC:5.4.2.2
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PGM2|Phosphoglucomutase/phosphomannomutase family protein,AT1G70730,,KO:K01835,EC:5.4.2.2
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Galactose mutarotase-like superfamily protein,AT4G23730,,KO:K01792,EC:5.1.3.15
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Galactose mutarotase-like superfamily protein,AT3G61610,,KO:K01792,EC:5.1.3.15
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Galactose mutarotase-like superfamily protein,AT3G01590,,KO:K01792,EC:5.1.3.15
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Galactose mutarotase-like superfamily protein,AT5G57330,,KO:K01792,EC:5.1.3.15
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",aldose 1-epimerase family protein,AT5G14500,,KO:K01792,EC:5.1.3.15
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Galactose mutarotase-like superfamily protein,AT4G25900,,KO:K01792,EC:5.1.3.15
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",Galactose mutarotase-like superfamily protein,AT5G66530,,KO:K01792,EC:5.1.3.15
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",histidine acid phosphatase family protein  [EC:3.1.3.80 3.1.3.62],AT1G09870,,KO:K03103,
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",ALDH11A3|aldehyde dehydrogenase 11A3,AT2G24270,,KO:K00131,EC:1.2.1.9
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PCK2|phosphoenolpyruvate carboxykinase 2,AT5G65690,,KO:K01610,EC:4.1.1.49
ath,ko00010,"path:ath00010	Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)
",PCK1|phosphoenolpyruvate carboxykinase 1,AT4G37870,,KO:K01610,EC:4.1.1.49
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",CSY3|citrate synthase 3,AT2G42790,,KO:K01647,EC:2.3.3.1
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",CSY1|citrate synthase 1,AT3G58740,,KO:K01647,EC:2.3.3.1
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",CSY2|citrate synthase 2,AT3G58750,,KO:K01647,EC:2.3.3.1
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",CSY5|citrate synthase 5,AT3G60100,,KO:K01647,EC:2.3.3.1
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",ATCS|Citrate synthase family protein,AT2G44350,,KO:K01647,EC:2.3.3.1
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",ACLB-1|ATP-citrate lyase B-1,AT3G06650,,KO:K01648,EC:2.3.3.8
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",ACLB-2|ATP citrate lyase subunit B 2,AT5G49460,,KO:K01648,EC:2.3.3.8
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",ACLA-2|ATP-citrate lyase A-2,AT1G60810,,KO:K01648,EC:2.3.3.8
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",ACLA-1|ATP-citrate lyase A-1,AT1G10670,,KO:K01648,EC:2.3.3.8
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",ACLA-3|ATP-citrate lyase A-3,AT1G09430,,KO:K01648,EC:2.3.3.8
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",ACO1|aconitase 1,AT4G35830,,KO:K01681,EC:4.2.1.3
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",ACO3|aconitase 3,AT2G05710,,KO:K01681,EC:4.2.1.3
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",ACO2|aconitase 2,AT4G26970,,KO:K01681,EC:4.2.1.3
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",cICDH|cytosolic NADP+-dependent isocitrate dehydrogenase,AT1G65930,,KO:K00031,EC:1.1.1.42
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",ICDH|isocitrate dehydrogenase,AT1G54340,,KO:K00031,EC:1.1.1.42
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",Isocitrate/isopropylmalate dehydrogenase family protein,AT5G14590,,KO:K00031,EC:1.1.1.42
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",IDH-III|isocitrate dehydrogenase III,AT4G35650,,KO:K00030,EC:1.1.1.41
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",IDH-V|isocitrate dehydrogenase V,AT5G03290,,KO:K00030,EC:1.1.1.41
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",IDH2|isocitrate dehydrogenase subunit 2,AT2G17130,,KO:K00030,EC:1.1.1.41
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",IDH1|isocitrate dehydrogenase 1,AT4G35260,,KO:K00030,EC:1.1.1.41
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",IDH-VI|isocitrate dehydrogenase VI,AT3G09810,,KO:K00030,EC:1.1.1.41
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",IDH-IV|isocitrate dehydrogenase IV,AT1G32480,,KO:K00030,EC:1.1.1.41
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
","2-oxoglutarate dehydrogenase, E1 component",AT3G55410,,KO:K00164,EC:1.2.4.2
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
","2-oxoglutarate dehydrogenase, E1 component",AT5G65750,,KO:K00164,EC:1.2.4.2
ath,ko00020,"path:ath00020	Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)
",Dihydrolipoamide succinyltransferase,AT5G55070,,KO:K00658,EC:2.3.1.61
